//==============================================================================================================================================//																														
//	MuDevs.com																													
//	Version: S20.2-3																													
//	Update: May/29/2025																													
//	Editor: OMEGA																													
//==============================================================================================================================================//																														
//	Index	Name	Server	Day																										
//	TemplateType	QuestChapter	QuestCategory	QuestImportance	QuestStartType	StartSubType	LevelMin	LevelMax	QuestRepeatCycle	PrecedenceQuest	QuestStartItemType	QuestStartItemIndex	QuestCheckGens	Zen	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK	AL	ReservedForNewClass
//	TemplateType	QuestType	QMainType	QSubType	TagetNumber	TargetMobMaxLv	DropRate	GateNumber	MapNumber	CoordinateX	CoordinateY	RewardExp	RewardZen	RewardGensPoint	RewardItemType01	RewardItemIndex01	ReItemCount01	RewardItemType02	RewardItemID02	ReItemCount02	RewardItemType03	RewardItemID03	ReItemCount03	RewardType	RewardSubType	RewardNumber				
//==============================================================================================================================================//																														
1	"Đạt Lv. 5 và gặp Shadow Phantom Soldier"	0	0																											
0	1	2	1	1	5	5	1700	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1	5	-1	-1	-1	-1	-1	17	0	167	129	50	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
2	"Chào mừng đến với thế giới MU."	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
1	6	-1	-1	-1	-1	-1	17	0	167	129	50	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
3	"Hướng dẫn - Nhấn phím C"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
1	6	-1	-1	-1	-1	-1	17	0	167	129	50	500	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
4	"Hướng dẫn - Nhấn phím I"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
1	6	-1	-1	-1	-1	-1	17	0	167	129	50	500	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
5	"Thu thập Táo"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
1	1	14	0	5	-1	0	17	0	167	129	100	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
6	"Săn Chain Scorpion tại Noria"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0		
1	2	27	-1	3	-1	-1	27	3	136	79	250	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
7	"Săn Budge Dragon tại Lorencia"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0		
1	2	2	-1	3	-1	-1	17	0	204	134	250	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
8	"Săn Strange Rabbit tại Elbeland"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1		
1	2	418	-1	3	-1	-1	267	51	126	192	250	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
9	"Săn quái Beetle"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0		
1	2	28	-1	30	-1	-1	27	3	102	83	5000	3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
10	"Săn Hound tại Lorencia"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0		
1	2	1	-1	30	-1	-1	17	0	63	195	5000	3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
11	"Săn Polluted Butterfly tại Elbeland"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1		
1	2	421	-1	30	-1	-1	267	51	132	212	5000	3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
12	"Hướng dẫn - Học kỹ năng [Elf]"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
1	6	-1	-1	-1	-1	-1	17	0	167	129	300	0	0	4	8	3	12	11	1	-1	-1	-1	-1	-1	-1					
13	"Hướng dẫn - Học kỹ năng [Dark Knight]"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
1	6	-1	-1	-1	-1	-1	17	0	167	129	300	0	0	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1					
14	"Hướng dẫn - Học kỹ năng [Dark Wizard]"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1	6	-1	-1	-1	-1	-1	17	0	167	129	300	0	0	15	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
15	"Hướng dẫn - Học kỹ năng [Summoner]"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
1	6	-1	-1	-1	-1	-1	17	0	167	129	300	0	0	15	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
16	"Đạt Lv. 25 và gặp Shadow Phantom Soldier"	0	0																											
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
1	3	25	-1	-1	-1	-1	17	0	167	129	50	50	0	13	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1					
17	"Hướng dẫn - Học kỹ năng [Tất cả]"	0	0																											
0	1	2	1	2	257	25	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
